iter	Logloss
278	0.3036447653
279	0.3031652818
280	0.3020825454
281	0.3007312887
282	0.3004529768
283	0.3001667316
284	0.2999471433
285	0.2995409679
286	0.2987398916
287	0.2986321241
288	0.2984034361
289	0.2981427309
290	0.2971844818
291	0.2970243705
292	0.2965340684
293	0.2962020184
294	0.2952996015
295	0.2946288046
296	0.2938924047
297	0.2932648678
298	0.2924307754
299	0.2919790185
300	0.2912373403
301	0.2905516418
302	0.2899437185
303	0.2896761756
304	0.2894471814
305	0.2888115922
306	0.2885569122
307	0.2877955542
308	0.2873334179
309	0.2865134116
310	0.2863398062
311	0.2856502241
312	0.2855200132
313	0.285315445
314	0.2847413128
315	0.2844666689
316	0.2841519105
317	0.2837606412
318	0.2830359939
319	0.2821009037
320	0.2817288219
321	0.280848263
322	0.2804224498
323	0.2797705262
324	0.278942432
325	0.2784295919
326	0.2783510251
327	0.2775650423
328	0.2773377025
329	0.2766160721
330	0.276222975
331	0.2756482512
332	0.2754348141
333	0.2749376944
334	0.2746586707
335	0.2741418477
336	0.2735368217
337	0.2725821948
338	0.2721115634
339	0.2717352695
340	0.2713506764
341	0.2708842661
342	0.2704805312
343	0.270051278
344	0.2695180095
345	0.269257395
346	0.2688958166
347	0.2684844485
348	0.2679309086
349	0.2675602173
350	0.2669652191
351	0.2664806035
352	0.266229642
353	0.2657521508
354	0.2654643672
355	0.2652759458
356	0.2649664327
357	0.2647946581
358	0.2645991624
359	0.2641927195
360	0.2640408978
361	0.263756818
362	0.2633217219
363	0.2629088706
364	0.262783237
365	0.2624209794
366	0.2621699032
367	0.2615975962
368	0.2611352492
369	0.2605391319
370	0.260106591
371	0.2598120559
372	0.259590029
373	0.2590177781
374	0.258835991
375	0.2582906705
376	0.2581737849
377	0.2577664114
378	0.2576016742
379	0.2573030577
380	0.2571491406
381	0.2571050823
382	0.2567468619
383	0.2563112767
384	0.2559369693
385	0.2554478858
386	0.2551147196
387	0.2544225491
388	0.2541610422
389	0.2538302932
390	0.2534227843
391	0.2530351875
392	0.2527730368
393	0.2521265992
394	0.2517621267
395	0.2510044291
396	0.2505835031
397	0.2501798625
398	0.2497965178
399	0.2493332018
400	0.2490990128
401	0.2487293393
402	0.2481483626
403	0.2478246063
404	0.2472778051
405	0.2469180715
406	0.2466479235
407	0.2464062331
408	0.2460543126
409	0.2457539903
410	0.2456616261
411	0.2451750382
412	0.2450262234
413	0.2447501012
414	0.2443889173
415	0.2441074047
416	0.2434961027
417	0.2428541971
418	0.2421548964
419	0.2419823333
420	0.2417590561
421	0.2416456374
422	0.2413220747
423	0.2408482699
424	0.2404636765
425	0.24032641
426	0.2399216148
427	0.2395882178
428	0.2392363422
429	0.2389475275
430	0.2384720096
431	0.238038558
432	0.2376941617
433	0.237351712
434	0.236988089
435	0.2366573984
436	0.2360917017
437	0.2358157683
438	0.2354851508
439	0.2351339176
440	0.2348108862
441	0.2347332939
442	0.2344502596
443	0.2341866893
444	0.2337539718
445	0.2335016905
446	0.2332897926
447	0.2330927527
448	0.2328098823
449	0.2326166741
450	0.2324739348
451	0.2322434725
452	0.2317082866
453	0.2313772365
454	0.2312587819
455	0.2308427739
456	0.23041778
457	0.2301379516
458	0.2298345399
459	0.2294669934
460	0.2292670233
461	0.2289900726
462	0.228663224
463	0.2284210766
464	0.2279358767
465	0.227820541
466	0.2274187729
467	0.2273439375
468	0.2271085229
469	0.226604348
470	0.2265045971
471	0.22597006
472	0.2258537932
473	0.2255711791
474	0.2252305438
475	0.2251741823
476	0.225016824
477	0.2247120254
478	0.2244968522
479	0.2244419399
480	0.2242949631
481	0.2240841601
482	0.2236599366
483	0.2232234687
484	0.2230348376
485	0.2226820955
486	0.2222904057
487	0.2219216987
488	0.2218326679
489	0.2216423594
490	0.2213743069
491	0.2212168202
492	0.2211778804
493	0.2210664503
494	0.2209637513
495	0.2208834029
496	0.2206130804
497	0.2204379099
498	0.2201587473
499	0.2198716667
500	0.219745711
501	0.2192712576
502	0.2189080671
503	0.2188716856
504	0.2187940092
505	0.2187271005
506	0.2183839026
507	0.2178827313
508	0.2176164941
509	0.2173915431
510	0.2171007535
511	0.21666787
512	0.2162202907
513	0.2158489524
514	0.2155833547
515	0.2154402008
516	0.2149888826
517	0.2147230378
518	0.2144787224
519	0.2142138683
520	0.2140218495
521	0.2138742666
522	0.2137419892
523	0.2132815768
524	0.2130341708
525	0.2128291547
526	0.2126198119
527	0.2123757199
528	0.2119297612
529	0.2116864775
530	0.2115883394
531	0.2113915972
532	0.2111440483
533	0.2107267397
534	0.2104298787
535	0.2101840842
536	0.2098864693
537	0.2094329568
538	0.2090668181
539	0.2088846068
540	0.2084081954
541	0.208034914
542	0.2078360656
543	0.2076145631
544	0.2072799047
545	0.2071303558
546	0.2067946565
547	0.2065060534
548	0.2061390357
549	0.2059696639
550	0.2056901828
551	0.2053459415
552	0.2047765735
553	0.2045455322
554	0.2043904992
555	0.2041661542
556	0.2038137696
557	0.2036791566
558	0.2031499913
559	0.2029719638
560	0.2027099758
561	0.2023119335
562	0.2020000433
563	0.201436713
564	0.2012656022
565	0.2010824024
566	0.2007388728
567	0.2003707319
568	0.199992716
569	0.1997516079
570	0.1995498478
571	0.199068022
572	0.1987049671
573	0.1984844281
574	0.1981594007
575	0.1979328469
576	0.1978610379
577	0.1977039967
578	0.1975719653
579	0.1972338891
580	0.1969292884
581	0.1968384721
582	0.1966186759
583	0.1964292592
584	0.1962202004
585	0.1960717214
586	0.195617872
587	0.195372925
588	0.1951575823
589	0.19511842
590	0.1948869438
591	0.1947165402
592	0.1944168491
593	0.1940836155
594	0.1936420208
595	0.193535839
596	0.1930222441
597	0.1928638722
598	0.1927531554
599	0.1925529822
600	0.1924644798
601	0.1921976031
602	0.1921170293
603	0.1919256607
604	0.191611822
605	0.1913165368
606	0.1911288611
607	0.1907434564
608	0.190463586
609	0.1902390386
610	0.1900443309
611	0.1896864121
612	0.1893874323
613	0.1890346709
614	0.1888494259
615	0.1885819079
616	0.1884607891
617	0.1883220375
618	0.1881401572
619	0.1881039025
620	0.1876996719
621	0.1874186515
622	0.1871742538
623	0.1868916881
624	0.1868009162
625	0.1866375476
626	0.1864877353
627	0.1864207829
628	0.1863138728
629	0.1861745584
630	0.1860727766
631	0.1859946485
632	0.1856550361
633	0.185357017
634	0.1851153321
635	0.1850035647
636	0.1848965985
637	0.1847925881
638	0.1845317001
639	0.1843534241
640	0.1841321752
641	0.1840061796
642	0.1838115496
643	0.1836670138
644	0.1834724804
645	0.183334486
646	0.1832123809
647	0.1830869337
648	0.1830512312
649	0.1828692934
650	0.1826003052
651	0.1823753505
652	0.1820858311
653	0.1817740423
654	0.1816011052
655	0.1815271239
656	0.1813282319
657	0.1810915416
658	0.180997402
659	0.1808740602
660	0.1806854161
661	0.1804628142
662	0.1803686939
663	0.1803374809
664	0.1802650111
665	0.1801933648
666	0.1800572669
667	0.1799883235
668	0.1797368971
669	0.1795735924
670	0.1795350719
671	0.1791096198
672	0.178808844
673	0.178698582
674	0.1784093479
675	0.1782472187
676	0.1780942219
677	0.1779464708
678	0.1777753207
679	0.1777109305
680	0.1775632835
681	0.1773362199
682	0.177264944
683	0.1771525889
684	0.1770619706
685	0.1769002328
686	0.1767984542
687	0.1766819408
688	0.1765970827
689	0.1763046693
690	0.1760422662
691	0.1759231905
692	0.1757360665
693	0.175533794
694	0.1754054773
695	0.1751229406
696	0.1749761047
697	0.1748127664
698	0.1746863336
699	0.1746016556
700	0.1744132764
701	0.1743524294
702	0.1742813953
703	0.1741487726
704	0.1741103751
705	0.1738866727
706	0.1737911792
707	0.1736462273
708	0.1734199729
709	0.1732868847
710	0.172978863
711	0.1728231126
712	0.1726989413
713	0.172479957
714	0.1722856401
715	0.1722553743
716	0.1720784662
717	0.171835694
718	0.1716283094
719	0.1714815217
720	0.1712366733
721	0.1709777905
722	0.170831887
723	0.1706543051
724	0.1705963691
725	0.1703545625
726	0.1702080436
727	0.1699980223
728	0.169713333
729	0.1696758294
730	0.1694676159
731	0.1693921963
732	0.1693277962
733	0.1689347961
734	0.1688224118
735	0.1687166833
736	0.1686549097
737	0.168509072
738	0.1683674841
739	0.1683383208
740	0.168083701
741	0.1679185741
742	0.1677810299
743	0.1676555296
744	0.1673573966
745	0.1671274704
746	0.166917892
747	0.1668052797
748	0.1667500281
749	0.1665257819
750	0.1664677748
751	0.1662514947
752	0.1660465257
753	0.1659866795
754	0.1659061666
755	0.1658137388
756	0.1656855364
757	0.1656522083
758	0.1654129682
759	0.1651757241
760	0.1650946092
761	0.1648214956
762	0.1646247768
763	0.1643377169
764	0.1642829607
765	0.1640484093
766	0.1639105079
767	0.1637781288
768	0.1636013333
769	0.1633519488
770	0.1632570883
771	0.1630138691
772	0.1628808857
773	0.1627171862
774	0.1625876353
775	0.1622673246
776	0.1621599304
777	0.1619860209
778	0.1617945866
779	0.1616112472
780	0.1615451688
781	0.1614143019
782	0.1612709786
783	0.1611567243
784	0.1610771317
785	0.1607479984
786	0.160676359
787	0.1603960815
788	0.1601732392
789	0.1599604519
790	0.15970433
791	0.1595717133
792	0.1595359361
793	0.1593729974
794	0.1592911443
795	0.1591715618
796	0.1590918724
797	0.1588887422
798	0.158750384
799	0.1585302053
800	0.1584623774
801	0.1581741953
802	0.1580135576
803	0.1578977248
804	0.1578082552
805	0.1575384624
806	0.1574426742
807	0.1572772475
808	0.1570138659
809	0.1567648014
810	0.156660206
811	0.1563535718
812	0.1562461208
813	0.1561425302
814	0.1558667192
815	0.1558041093
816	0.1555361426
817	0.1553071728
818	0.1550442634
819	0.1549656929
820	0.1548118487
821	0.1545788067
822	0.1543956759
823	0.1542120786
824	0.1541677188
825	0.153945319
826	0.1538161762
827	0.1536963795
828	0.153625157
829	0.1535854815
830	0.1533743962
831	0.1532714502
832	0.1530429125
833	0.1529786256
834	0.1528977211
835	0.1526805959
836	0.1524124788
837	0.1523027442
838	0.1521302965
839	0.1519909834
840	0.1518736368
841	0.1518087825
842	0.1517247299
843	0.1515214488
844	0.1514351509
845	0.1512121866
846	0.1511098895
847	0.150930147
848	0.1508159202
849	0.1506837508
850	0.1505824788
851	0.150394348
852	0.1503374429
853	0.1502413337
854	0.1500751972
855	0.1500347285
856	0.1498762884
857	0.1497584233
858	0.1494404963
859	0.1493894083
860	0.1491405147
861	0.1490209283
862	0.1488740586
863	0.1487476817
864	0.1486276692
865	0.1485827054
866	0.1484324554
867	0.1482576989
868	0.1482250476
869	0.1480798454
870	0.1480365349
871	0.1478965924
872	0.1478325111
873	0.1477258037
874	0.1476490045
875	0.1475513088
876	0.1473374757
877	0.1471111031
878	0.1470325686
879	0.146890198
880	0.1467983608
881	0.1465651238
882	0.1463386571
883	0.1460430452
884	0.1460107811
885	0.1458113544
886	0.1455695577
887	0.1453443649
888	0.1451710613
889	0.1450023545
890	0.14493065
891	0.144793052
892	0.1447097963
893	0.1446262393
894	0.1444365702
895	0.1441984719
896	0.1441399959
897	0.1439339173
898	0.1438281182
899	0.1437007415
